rmag, phimag, dL, dS
0.00540847723182, 0.713998330359, -0.129236021578+0.145099980267j, 0.241100008854-0.424027126336j
0.00540847723182, 0.745731589486, -0.127489573496+0.140483336965j, 0.227624173107-0.48032196659j
0.00540847723182, 0.777464848613, -0.125012904699+0.136297734411j, 0.207253420116-0.53038699305j
0.00540847723182, 0.80919810774, -0.122998686468+0.131748887554j, 0.190405464765-0.532630240851j
0.00540847723182, 0.840931366867, -0.119515361215+0.127737768699j, 0.199529789302-0.507999216113j
0.00540847723182, 0.872664625994, -0.116032035963+0.123726649844j, 0.208654113839-0.483368191374j
0.00540847723182, 0.904397885122, -0.11254871071+0.119715530989j, 0.217778438376-0.458737166636j
0.00540847723182, 0.936131144249, -0.109065385458+0.115704412134j, 0.226902762913-0.434106141897j
0.00540847723182, 0.967864403376, -0.103885769548+0.112354287921j, 0.305914336902-0.325517783154j
0.00540847723182, 0.999597662503, -0.0986071680215+0.109042735495j, 0.389004122684-0.21203016464j
0.00540847723182, 1.03133092163, -0.102459960157+0.102614159866j, 0.364019786777-0.216245978218j
0.00540847723182, 1.06306418076, -0.103973048611+0.0976343092031j, 0.331266877417-0.207583716999j
0.00540847723182, 1.09479743988, -0.0864131901455+0.0981056586594j, 0.258193166484-0.231665520995j
0.00540847723182, 1.12653069901, -0.0688533316797+0.0985770081158j, 0.185119455551-0.255747324992j
0.00540847723182, 1.15826395814, -0.0512934732138+0.0990483575721j, 0.112045744618-0.279829128988j
0.00540847723182, 1.18999721727, -0.033733614748+0.0995197070284j, 0.0389720336845-0.303910932985j
0.00540847723182, 1.22173047639, -0.00592844692518+0.0950511702248j, -0.0174491840746-0.30269314034j
0.00540847723182, 1.25346373552, -0.0187659199067+0.101130058882j, -0.145824117468-0.27336015049j
0.00540847723182, 1.28519699465, -0.08713084272+0.0794988288275j, -0.203795493043-0.227530174156j
0.00540847723182, 1.31693025377, -0.0810144851628+0.079884734834j, -0.200444282436-0.444692195045j
0.00540847723182, 1.3486635129, -0.0701926519423+0.0817545636245j, -0.1942916246-0.676828132116j
0.00540847723182, 1.38039677203, -0.0593708187217+0.083624392415j, -0.188138966764-0.908964069186j
0.00540847723182, 1.41213003115, -0.0485489855011+0.0854942212055j, -0.181986308929-1.14110000626j
0.00540847723182, 1.44386329028, -0.0377271522805+0.087364049996j, -0.175833651093-1.37323594333j
0.00540847723182, 1.47559654941, -0.02690531906+0.0892338787865j, -0.169680993258-1.6053718804j
0.00540847723182, 1.50732980854, 0+0j, 0+0j
0.00540847723182, 1.53906306766, 0+0j, 0+0j
0.00540847723182, 1.57079632679, 0+0j, 0+0j
0.005812472292, -1.57079632679, 0+0j, 0+0j
0.005812472292, -1.53906306766, -0.0240697316279+0.0627615409876j, 0.136421880424+1.72102391934j
0.005812472292, -1.50732980854, -0.0224766259293+0.0279817315317j, 0.0721119108887+1.17145704829j
0.005812472292, -1.47559654941, -0.0314293729621+0.00900093043154j, -6.61877006062e-05+0.651237745159j
0.005812472292, -1.44386329028, -0.0411686177987+0.033242843321j, 0.0445510244242+0.378617454811j
0.005812472292, -1.41213003115, -0.0438704588338+0.0529543272245j, 0.094390953562+0.171567661183j
0.005812472292, -1.38039677203, -0.0465434391642+0.0726740653702j, 0.144276243332-0.0352054701671j
0.005812472292, -1.3486635129, -0.0351562409416+0.0827835799733j, 0.163337459834-0.00523540348662j
0.005812472292, -1.31693025377, -0.0234973677573+0.0841869317906j, 0.133411473947+0.0854139440494j
0.005812472292, -1.28519699465, -0.011838494573+0.0855902836079j, 0.10348548806+0.176063291585j
0.005812472292, -1.25346373552, -0.00147674722645+0.0868556599109j, 0.073427119161+0.266326415348j
